zmienna;wyrob;okres;wartosc
zamowienie;1;1;38
zapas_poczatek;1;1;38
popyt;1;1;15
zapas_koniec;1;1;23
czy_zamawiac;1;1;1
zamowienie;1;2;0
zapas_poczatek;1;2;23
popyt;1;2;3
zapas_koniec;1;2;20
czy_zamawiac;1;2;0
zamowienie;1;3;0
zapas_poczatek;1;3;20
popyt;1;3;7
zapas_koniec;1;3;13
czy_zamawiac;1;3;0
zamowienie;1;4;0
zapas_poczatek;1;4;13
popyt;1;4;13
zapas_koniec;1;4;0
czy_zamawiac;1;4;0
zamowienie;1;5;50
zapas_poczatek;1;5;50
popyt;1;5;18
zapas_koniec;1;5;32
czy_zamawiac;1;5;1
zamowienie;1;6;0
zapas_poczatek;1;6;32
popyt;1;6;15
zapas_koniec;1;6;17
czy_zamawiac;1;6;0
zamowienie;1;7;0
zapas_poczatek;1;7;17
popyt;1;7;14
zapas_koniec;1;7;3
czy_zamawiac;1;7;0
zamowienie;1;8;0
zapas_poczatek;1;8;3
popyt;1;8;3
zapas_koniec;1;8;0
czy_zamawiac;1;8;0
zamowienie;1;9;49
zapas_poczatek;1;9;49
popyt;1;9;14
zapas_koniec;1;9;35
czy_zamawiac;1;9;1
zamowienie;1;10;0
zapas_poczatek;1;10;35
popyt;1;10;3
zapas_koniec;1;10;32
czy_zamawiac;1;10;0
zamowienie;1;11;0
zapas_poczatek;1;11;32
popyt;1;11;17
zapas_koniec;1;11;15
czy_zamawiac;1;11;0
zamowienie;1;12;0
zapas_poczatek;1;12;15
popyt;1;12;15
zapas_koniec;1;12;0
czy_zamawiac;1;12;0
zamowienie;1;13;59
zapas_poczatek;1;13;59
popyt;1;13;3
zapas_koniec;1;13;56
czy_zamawiac;1;13;1
zamowienie;1;14;0
zapas_poczatek;1;14;56
popyt;1;14;14
zapas_koniec;1;14;42
czy_zamawiac;1;14;0
zamowienie;1;15;0
zapas_poczatek;1;15;42
popyt;1;15;12
zapas_koniec;1;15;30
czy_zamawiac;1;15;0
zamowienie;1;16;0
zapas_poczatek;1;16;30
popyt;1;16;18
zapas_koniec;1;16;12
czy_zamawiac;1;16;0
zamowienie;1;17;0
zapas_poczatek;1;17;12
popyt;1;17;12
zapas_koniec;1;17;0
czy_zamawiac;1;17;0
zamowienie;2;1;24
zapas_poczatek;2;1;24
popyt;2;1;8
zapas_koniec;2;1;16
czy_zamawiac;2;1;1
zamowienie;2;2;0
zapas_poczatek;2;2;16
popyt;2;2;3
zapas_koniec;2;2;13
czy_zamawiac;2;2;0
zamowienie;2;3;0
zapas_poczatek;2;3;13
popyt;2;3;5
zapas_koniec;2;3;8
czy_zamawiac;2;3;0
zamowienie;2;4;0
zapas_poczatek;2;4;8
popyt;2;4;8
zapas_koniec;2;4;0
czy_zamawiac;2;4;0
zamowienie;2;5;53
zapas_poczatek;2;5;53
popyt;2;5;19
zapas_koniec;2;5;34
czy_zamawiac;2;5;1
zamowienie;2;6;0
zapas_poczatek;2;6;34
popyt;2;6;6
zapas_koniec;2;6;28
czy_zamawiac;2;6;0
zamowienie;2;7;0
zapas_poczatek;2;7;28
popyt;2;7;15
zapas_koniec;2;7;13
czy_zamawiac;2;7;0
zamowienie;2;8;0
zapas_poczatek;2;8;13
popyt;2;8;13
zapas_koniec;2;8;0
czy_zamawiac;2;8;0
zamowienie;2;9;50
zapas_poczatek;2;9;50
popyt;2;9;17
zapas_koniec;2;9;33
czy_zamawiac;2;9;1
zamowienie;2;10;0
zapas_poczatek;2;10;33
popyt;2;10;14
zapas_koniec;2;10;19
czy_zamawiac;2;10;0
zamowienie;2;11;0
zapas_poczatek;2;11;19
popyt;2;11;3
zapas_koniec;2;11;16
czy_zamawiac;2;11;0
zamowienie;2;12;0
zapas_poczatek;2;12;16
popyt;2;12;16
zapas_koniec;2;12;0
czy_zamawiac;2;12;0
